,gaze_confidence,gaze_x,gaze_y,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45,head_x,head_y,head_z,pose_1_x,pose_1_y,pose_1_confidence,pose_2_x,pose_2_y,pose_2_confidence,pose_3_x,pose_3_y,pose_3_confidence,pose_4_x,pose_4_y,pose_4_confidence,pose_5_x,pose_5_y,pose_5_confidence,pose_6_x,pose_6_y,pose_6_confidence,pose_7_x,pose_7_y,pose_7_confidence
0,0.98,0.554,0.523,0.51,1.17,0.69,0.23,0.98,0.0,0.0,0.27,0.89,0.06,0.75,0.85,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.98,0.553,0.5215,0.76,1.58,0.68,0.13,0.94,0.0,0.0,0.18,0.89,0.33,0.25,0.75,0.0,0.44,0.0,0.0,0.04,0.00016900000000000004,1.600000000000003e-05,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
2,0.98,0.5545,0.522,0.81,1.75,0.63,0.06,0.94,0.0,0.0,0.16,0.89,0.47,0.43,0.78,0.0,0.44,0.0,0.0,0.04,3.9999999999999964e-06,2.5000000000000045e-05,0.0,,,,,,,,,,,,,,,,,,,,,
3,0.98,0.5555,0.522,0.69,1.66,0.57,0.04,0.99,0.0,0.0,0.15,0.84,0.6,0.85,0.88,0.0,0.44,0.0,0.0,0.04,0.0,1.600000000000003e-05,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
4,0.98,0.5565,0.521,0.68,1.57,0.45,0.08,1.08,0.0,0.0,0.09,0.69,0.56,1.27,0.91,0.0,0.47,0.0,0.0,0.0,3.9999999999999964e-06,1.600000000000003e-05,0.0,,,,,,,,,,,,,,,,,,,,,
5,0.98,0.553,0.5215,0.7,1.59,0.34,0.19,1.15,0.0,0.0,0.02,0.47,0.5,1.35,0.91,0.07,0.49,0.0,0.0,0.0,9e-06,0.00014400000000000025,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
6,0.98,0.5485,0.522,0.7,1.57,0.33,0.47,1.18,0.0,0.0,0.0,0.41,0.42,1.0,0.83,0.11,0.37,0.0,0.0,0.13,9.999999999999983e-07,0.000225,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
7,0.98,0.547,0.5265,0.67,1.48,0.26,0.74,1.11,0.0,0.0,0.0,0.44,0.34,0.62,0.79,0.11,0.28,0.0,0.14,0.26,1.0000000000000019e-06,3.600000000000006e-05,9.999999999999949e-07,,,,,,,,,,,,,,,,,,,,,
8,0.98,0.548,0.525,0.64,1.26,0.29,0.96,1.02,0.0,0.0,0.0,0.52,0.41,0.12,0.65,0.04,0.14,0.0,0.2,0.48,4.9000000000000005e-05,9.000000000000015e-06,2.4999999999999974e-05,,,,,,,,,,,,,,,,,,,,,
9,0.98,0.5495,0.525,0.69,1.12,0.26,0.94,0.97,0.0,0.0,0.0,0.52,0.36,0.12,0.7,0.0,0.17,0.0,0.29,0.56,4e-06,1.600000000000003e-05,3.999999999999993e-06,,,,,,,,,,,,,,,,,,,,,
10,0.98,0.5495,0.5235,0.71,1.14,0.31,0.68,0.99,0.0,0.0,0.0,0.51,0.27,0.14,0.6,0.0,0.21,0.0,0.16,0.48,1e-06,1.0000000000000019e-06,4.0000000000000074e-06,,,,,,,,,,,,,,,,,,,,,
11,0.98,0.548,0.524,0.68,1.22,0.36,0.53,0.98,0.0,0.0,0.0,0.57,0.09,0.13,0.52,0.0,0.18,0.0,0.1,0.29,3.6e-05,1.600000000000003e-05,0.0,,,,,,,,,,,,,,,,,,,,,
12,0.98,0.548,0.522,0.58,1.32,0.4,0.5,0.98,0.0,0.0,0.0,0.6,0.05,0.05,0.39,0.0,0.13,0.0,0.01,0.09,4e-06,4.0000000000000074e-06,4.0000000000000074e-06,,,,,,,,,,,,,,,,,,,,,
13,0.98,0.5475,0.523,0.52,1.3,0.44,0.62,0.96,0.0,0.0,0.0,0.63,0.11,0.06,0.32,0.0,0.06,0.0,0.0,0.04,8.999999999999995e-06,4.0000000000000074e-06,0.0,,,,,,,,,,,,,,,,,,,,,
14,0.98,0.5485,0.5245,0.54,1.27,0.44,0.64,0.99,0.0,0.0,0.0,0.61,0.12,0.11,0.35,0.0,0.1,0.0,0.01,0.01,1.6000000000000016e-05,1.0000000000000019e-06,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
15,0.98,0.5475,0.525,0.54,1.16,0.48,0.64,0.97,0.0,0.0,0.0,0.59,0.08,0.24,0.45,0.0,0.18,0.0,0.08,0.0,3.999999999999993e-06,4.0000000000000074e-06,0.0,,,,,,,,,,,,,,,,,,,,,
16,0.98,0.549,0.525,0.62,1.21,0.53,0.59,0.96,0.0,0.0,0.0,0.57,0.1,0.35,0.41,0.0,0.26,0.0,0.1,0.0,1.0000000000000019e-06,9.000000000000015e-06,0.0,,,,,,,,,,,,,,,,,,,,,
17,0.98,0.552,0.5235,0.72,1.37,0.54,0.7,0.88,0.0,0.0,0.0,0.56,0.11,0.61,0.46,0.0,0.32,0.0,0.1,0.01,1.5999999999999986e-05,8.09999999999999e-05,3.600000000000002e-05,,,,,,,,,,,,,,,,,,,,,
18,0.98,0.553,0.525,0.86,1.43,0.53,0.69,0.76,0.0,0.0,0.0,0.6,0.12,0.72,0.31,0.0,0.26,0.0,0.03,0.09,0.0,4.0000000000000074e-06,8.999999999999975e-06,,,,,,,,,,,,,,,,,,,,,
19,0.98,0.5535,0.528,0.86,1.33,0.48,0.79,0.63,0.0,0.0,0.0,0.62,0.03,0.7,0.23,0.0,0.16,0.0,0.0,0.2,9.000000000000005e-06,1.0000000000000019e-06,4.0000000000000074e-06,,,,,,,,,,,,,,,,,,,,,
20,0.98,0.555,0.529,0.88,1.25,0.51,0.73,0.58,0.0,0.0,0.0,0.63,0.0,0.43,0.1,0.0,0.05,0.0,0.0,0.19,4.0000000000000074e-06,1.600000000000003e-05,3.599999999999998e-05,,,,,,,,,,,,,,,,,,,,,
21,0.98,0.5535,0.531,0.85,1.22,0.54,0.67,0.58,0.0,0.0,0.0,0.62,0.0,0.39,0.13,0.0,0.09,0.0,0.0,0.16,0.00012099999999999999,1.600000000000003e-05,8.999999999999975e-06,,,,,,,,,,,,,,,,,,,,,
22,0.98,0.554,0.5285,0.86,1.26,0.65,0.63,0.62,0.0,0.0,0.0,0.65,0.0,0.27,0.21,0.0,0.2,0.0,0.0,0.07,4.899999999999999e-05,4.0000000000000074e-06,0.0,,,,,,,,,,,,,,,,,,,,,
23,0.98,0.5535,0.5285,0.82,1.23,0.7,0.61,0.66,0.0,0.0,0.0,0.71,0.0,0.36,0.22,0.0,0.31,0.0,0.05,0.07,8.999999999999995e-06,1.0000000000000019e-06,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
