,gaze_confidence,gaze_x,gaze_y,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45,head_x,head_y,head_z,pose_1_x,pose_1_y,pose_1_confidence,pose_2_x,pose_2_y,pose_2_confidence,pose_3_x,pose_3_y,pose_3_confidence,pose_4_x,pose_4_y,pose_4_confidence,pose_5_x,pose_5_y,pose_5_confidence,pose_6_x,pose_6_y,pose_6_confidence,pose_7_x,pose_7_y,pose_7_confidence
0,0.88,0.471,0.5765,0.0,0.0,2.29,0.0,0.95,3.85,0.61,0.0,0.21,0.84,0.0,1.12,0.01,0.16,0.37,0.48,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.88,0.47,0.581,0.01,0.0,2.46,0.0,0.73,3.52,0.54,0.08,0.12,0.59,0.08,1.19,0.0,0.09,0.29,0.16,0.0,0.00019599999999999956,2.4999999999999906e-05,0.000225,,,,,,,,,,,,,,,,,,,,,
2,0.88,0.46950000000000003,0.5825,0.03,0.0,2.49,0.0,0.66,3.61,0.47,0.1,0.09,0.56,0.17,1.35,0.0,0.08,0.26,0.07,0.0,9.000000000000015e-06,9.000000000000015e-06,8.100000000000002e-05,,,,,,,,,,,,,,,,,,,,,
3,0.88,0.47,0.5855,0.17,0.0,2.46,0.0,0.73,3.8,0.48,0.08,0.11,0.57,0.21,1.5,0.0,0.05,0.26,0.13,0.0,6.400000000000012e-05,4.0000000000000074e-06,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
4,0.88,0.46950000000000003,0.5845,0.27,0.0,2.34,0.0,0.86,3.87,0.41,0.08,0.11,0.63,0.27,1.48,0.04,0.03,0.33,0.13,0.0,1.600000000000003e-05,1.0000000000000019e-06,0.0,,,,,,,,,,,,,,,,,,,,,
5,0.88,0.473,0.5845,0.3,0.0,2.39,0.0,0.89,3.65,0.4,0.11,0.1,0.62,0.18,1.39,0.04,0.0,0.37,0.07,0.0,1.0000000000000019e-06,0.0001209999999999999,4.0000000000000074e-06,,,,,,,,,,,,,,,,,,,,,
6,0.88,0.4725,0.585,0.35,0.0,2.3,0.0,0.9,3.54,0.46,0.18,0.11,0.65,0.11,1.35,0.04,0.0,0.39,0.0,0.03,9.000000000000015e-06,4.0000000000000074e-06,0.0,,,,,,,,,,,,,,,,,,,,,
7,0.88,0.472,0.5875,0.37,0.0,2.37,0.0,0.87,3.43,0.54,0.19,0.18,0.77,0.03,1.37,0.0,0.0,0.42,0.0,0.03,2.5000000000000045e-05,8.999999999999932e-06,9.000000000000015e-06,,,,,,,,,,,,,,,,,,,,,
8,0.88,0.47050000000000003,0.589,0.61,0.03,2.32,0.0,0.84,3.59,0.58,0.22,0.26,0.8,0.09,1.4,0.01,0.0,0.54,0.0,0.03,1.600000000000003e-05,2.5000000000000045e-05,4.0000000000000074e-06,,,,,,,,,,,,,,,,,,,,,
9,0.88,0.46950000000000003,0.59,0.75,0.13,2.29,0.08,0.77,3.46,0.46,0.3,0.3,0.79,0.06,1.35,0.05,0.0,0.65,0.0,0.12,3.600000000000006e-05,4.0000000000000074e-06,1.5999999999999972e-05,,,,,,,,,,,,,,,,,,,,,
