,gaze_confidence,gaze_x,gaze_y,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45,head_x,head_y,head_z,pose_1_x,pose_1_y,pose_1_confidence,pose_2_x,pose_2_y,pose_2_confidence,pose_3_x,pose_3_y,pose_3_confidence,pose_4_x,pose_4_y,pose_4_confidence,pose_5_x,pose_5_y,pose_5_confidence,pose_6_x,pose_6_y,pose_6_confidence,pose_7_x,pose_7_y,pose_7_confidence
0,0.88,0.522,0.638,0.05,0.0,0.07,0.39,1.27,3.01,0.0,0.08,0.72,0.03,0.08,0.0,0.63,0.0,0.09,0.08,0.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.88,0.5205,0.6375,0.02,0.0,0.15,0.22,1.22,2.75,0.0,0.14,0.68,0.18,0.06,0.23,0.28,0.08,0.1,0.17,0.6,9.000000000000015e-06,3.9999999999999795e-06,0.00014400000000000008,,,,,,,,,,,,,,,,,,,,,
2,0.88,0.5215,0.636,0.0,0.0,0.16,0.17,1.27,2.56,0.0,0.18,0.66,0.27,0.1,0.36,0.1,0.16,0.1,0.16,0.5,9.000000000000015e-06,4.899999999999999e-05,6.399999999999989e-05,,,,,,,,,,,,,,,,,,,,,
3,0.88,0.522,0.6365000000000001,0.0,0.0,0.19,0.24,1.36,2.5,0.0,0.28,0.63,0.31,0.14,0.53,0.18,0.27,0.11,0.14,0.51,4.0000000000000074e-06,1.600000000000003e-05,4.9000000000000087e-05,,,,,,,,,,,,,,,,,,,,,
4,0.88,0.522,0.6355,0.0,0.0,0.36,0.41,1.4,2.45,0.0,0.32,0.58,0.37,0.23,0.74,0.38,0.29,0.13,0.08,0.54,9.000000000000015e-06,1.0000000000000019e-06,2.5000000000000045e-05,,,,,,,,,,,,,,,,,,,,,
5,0.88,0.522,0.6355,0.0,0.0,0.57,0.59,1.38,2.54,0.0,0.39,0.57,0.42,0.31,0.91,0.58,0.34,0.1,0.06,0.56,1.0000000000000019e-06,0.0,8.999999999999932e-06,,,,,,,,,,,,,,,,,,,,,
6,0.88,0.5215,0.636,0.0,0.0,0.68,0.65,1.38,2.56,0.0,0.43,0.58,0.46,0.41,0.97,0.62,0.32,0.02,0.0,0.54,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
7,0.88,0.522,0.6355,0.0,0.0,0.59,0.55,1.38,2.53,0.0,0.48,0.64,0.49,0.43,0.92,0.54,0.29,0.0,0.0,0.46,9.000000000000015e-06,0.0,9.000000000000015e-06,,,,,,,,,,,,,,,,,,,,,
8,0.88,0.522,0.6365000000000001,0.0,0.0,0.44,0.5,1.37,2.25,0.0,0.51,0.67,0.42,0.39,0.93,0.46,0.24,0.0,0.0,0.32,4.0000000000000074e-06,1.0000000000000019e-06,9.000000000000015e-06,,,,,,,,,,,,,,,,,,,,,
9,0.88,0.5225,0.6365000000000001,0.0,0.0,0.4,0.56,1.3,2.03,0.0,0.48,0.66,0.36,0.36,0.86,0.56,0.2,0.0,0.0,0.24,0.0,3.9999999999999795e-06,0.0,,,,,,,,,,,,,,,,,,,,,
10,0.88,0.5235,0.6375,0.0,0.0,0.43,0.62,1.27,1.88,0.0,0.42,0.67,0.27,0.34,0.85,0.62,0.2,0.0,0.0,0.2,0.0,9.000000000000015e-06,0.0,,,,,,,,,,,,,,,,,,,,,
11,0.88,0.5225,0.6375,0.0,0.0,0.49,0.61,1.26,1.89,0.0,0.31,0.65,0.27,0.3,0.76,0.62,0.25,0.0,0.0,0.19,1.0000000000000019e-06,9.000000000000015e-06,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
12,0.88,0.5225,0.637,0.0,0.0,0.54,0.55,1.21,1.85,0.0,0.23,0.65,0.23,0.25,0.68,0.51,0.25,0.0,0.0,0.16,9.000000000000015e-06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
13,0.88,0.5215,0.637,0.0,0.0,0.56,0.66,1.2,1.96,0.0,0.19,0.63,0.19,0.2,0.56,0.45,0.25,0.0,0.05,0.16,1.0000000000000019e-06,3.9999999999999795e-06,0.0,,,,,,,,,,,,,,,,,,,,,
14,0.88,0.52,0.6365000000000001,0.0,0.0,0.64,0.71,1.16,2.0,0.0,0.21,0.65,0.2,0.19,0.47,0.45,0.23,0.0,0.13,0.25,4.0000000000000074e-06,1.600000000000003e-05,0.0,,,,,,,,,,,,,,,,,,,,,
15,0.88,0.52,0.636,0.0,0.0,0.67,0.73,1.18,2.18,0.0,0.25,0.66,0.31,0.2,0.54,0.39,0.25,0.0,0.16,0.32,0.0,0.0,9.000000000000015e-06,,,,,,,,,,,,,,,,,,,,,
16,0.88,0.5195,0.6375,0.0,0.0,0.75,0.69,1.16,2.14,0.0,0.29,0.7,0.43,0.18,0.62,0.47,0.23,0.01,0.13,0.43,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,,,,,,,,,,,,,,,,,,,,,
17,0.88,0.5195,0.638,0.0,0.0,0.79,0.72,1.16,2.18,0.0,0.32,0.69,0.56,0.18,0.73,0.43,0.19,0.03,0.09,0.5,9.000000000000015e-06,0.0,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
18,0.88,0.5185,0.6385000000000001,0.0,0.0,0.85,0.82,1.15,2.19,0.0,0.32,0.71,0.52,0.13,0.65,0.45,0.15,0.04,0.05,0.56,1.0000000000000019e-06,3.9999999999999795e-06,0.0,,,,,,,,,,,,,,,,,,,,,
19,0.88,0.519,0.637,0.0,0.0,0.94,0.9,1.15,2.24,0.0,0.32,0.68,0.49,0.16,0.63,0.39,0.16,0.04,0.13,0.61,4.0000000000000074e-06,3.9999999999999795e-06,0.0,,,,,,,,,,,,,,,,,,,,,
